App,Field,First-pass assumption,Verified finding,Evidence,Confidence before,Confidence after
Clay,apiTypes / toolkitVerdict,"Assumed Clay exposes a standard public REST API like most GTM tools in its category (Attio, Twenty, etc.)","Clay's own docs state plainly it does NOT have a traditional API -- only webhooks in/out, or an Enterprise-only People/Company lookup API.",https://university.clay.com/docs/using-clay-as-an-api,55,87
Otter AI,selfServe,"Assumed a self-serve public API key existed, matching peers like Fathom and Grain.",Otter's own help center says: 'We currently do not have a public API key at this time.' REST API is Enterprise-beta only; the MCP server is the actual self-serve agent-access path.,https://help.otter.ai/hc/en-us/articles/35287607569687-Otter-MCP-Server,50,89
Threads (Meta),selfServe,Assumed similar access pattern to standard Meta Graph API apps (basic app review only).,"Threads API additionally requires the developer's Meta Business account to be verified, and a brand-new app (existing Facebook/Instagram apps can't be reused) -- a stricter gate than typical Graph API access.",https://developers.facebook.com/docs/threads/get-started/get-access-tokens-and-permissions/,60,82
Consensus,mcpSupport / apiTypes,Assumed a single unified API (assignment brief hint said 'OAuth requested').,"Consensus actually ships two separate access paths: a genuinely open MCP server (no account needed for casual use) and a fully gated, application-only REST API with custom per-call pricing.",https://docs.consensus.app/docs/mcp,45,90
DealCloud,mcpSupport,Assumed no MCP support given DealCloud's enterprise/legacy-adjacent positioning.,"DealCloud's own release notes show a DealCloud MCP Server client preview starting July 2026 -- already in motion, not absent.",https://api.docs.dealcloud.com/docs/apikeys,70,91
systeme.io,selfServe,Assumed a marketing-tool-style limited or partner-gated API given its all-in-one funnel-builder positioning.,"systeme.io has a fully self-serve X-API-Key REST API; up to 3 keys generated directly in account settings, no approval step.",https://help.systeme.io/article/2323-how-to-create-a-public-api-key-on-systeme-io,55,91
PitchBook,selfServe,"Assumed a typical 'higher-tier plan unlocks API' gate, similar to Ahrefs/SE Ranking.","PitchBook API access has no self-serve signup at all -- it is a standalone paid contract negotiated directly with PitchBook's Direct Data team, priced per data credit.",https://pitchbook.com/help/PitchBook-api,60,91
Grain,mcpSupport,"Assumed no MCP support, given Grain's positioning as primarily a Zapier/native-integration product.","Grain shipped an official MCP server with built-in one-click report prompts (Voice of Customer, Pipeline IQ, SPICED/MEDDICC) -- one of the more sophisticated MCP implementations found in the whole set.",https://developers.grain.com/,55,91
Fathom,selfServe,"Assumed the API might be gated to paid plans, matching the Otter pattern for the same product category.",Fathom's own product-update log states the public API and webhooks are available to 'all users on all plans' -- notably more open than its closest competitor.,https://help.fathom.video/en/articles/6220097,55,93
Devin,authentication,Assumed a simple single API-key model.,"Devin uses a more sophisticated principal+token model (Service User API Key vs Personal Access Token, cog_-prefixed, RBAC-aware v3 API) plus an official MCP server -- both gated behind an active paid account.",https://docs.devin.ai/api-reference/authentication,60,90
Attio,selfServe,"Assumed API access might require a paid plan, as with many newer CRMs.","API access (both key-based and OAuth2) is available on ALL Attio plans, generated directly by any workspace admin -- no plan gate.",https://attio.com/help/apps/other-apps/generating-an-api-key,65,94
Twenty,apiTypes,"Assumed REST-only, matching most open-source CRM forks.","Twenty auto-generates both REST AND GraphQL APIs directly from the workspace schema, including a Metadata API for custom object management -- broader than assumed.",https://docs.twenty.com/developers/introduction,65,93
Pylon,mcpSupport,Assumed no MCP support given Pylon's relatively narrow B2B-support niche.,Pylon's own docs nav includes a dedicated 'Pylon MCP' section alongside the REST API reference.,https://docs.usepylon.com/pylon-docs/developer/api,60,93
Plain,apiTypes,"Assumed a hybrid REST+GraphQL API, matching most modern support tools.","Plain is GraphQL-only by design -- no REST surface at all -- which is actually a differentiator worth calling out, not an omission.",https://www.plain.com/docs/graphql/authentication,60,94
Higgsfield,selfServe,Assumed likely gated given the compute-intensive nature of video generation.,Higgsfield Cloud offers fully self-serve API key/secret generation with pay-as-you-go credits and official Python/Node SDKs -- no approval step found.,https://github.com/higgsfield-ai/higgsfield-client,50,84
Amazon Selling Partner,authentication,Assumed a standard single-layer OAuth2 flow.,"SP-API layers Login-with-Amazon OAuth2 together with AWS SigV4 request signing -- a materially more complex integration than a typical OAuth2 REST API, on top of the seller-account approval gate.",https://developer-docs.amazon.com/sp-api/,70,88
Waterfall.io,all fields,Assumed this was a discoverable contact-intelligence SaaS product per the assignment's brief hint.,"No public developer documentation, API reference, or clear vendor identity could be located under this name via web search in the time available. Rather than fabricate plausible-sounding details, this was marked low-confidence and routed to manual review.",(none found),50,25
fanbasis,all fields,"Assumed a documented public REST API would exist, matching most payments/monetization SaaS in the set.",No developer portal or API reference was discoverable for this product. Marked low-confidence rather than guessed.,https://fanbasis.com/,50,30
Paygent Connect,all fields,Assumed dedicated public docs would exist separate from NMI's own gateway documentation.,"Could not locate a dedicated, current public developer-docs URL specifically for 'Paygent Connect' (as distinct from NMI's own well-known docs). Classified by category pattern (NMI-powered payment gateways are consistently merchant-gated) rather than asserted with false precision, and confidence lowered accordingly.",(none found),55,45
MrScraper,mcpSupport / all fields,"Assumed a docs deep-crawl would confirm self-serve API-key access, matching peers (Apify, Firecrawl).",Docs domain (docs.mrscraper.com) was identified but not deep-crawled in this pass; kept at reduced confidence and flagged for a dedicated follow-up crawl rather than extrapolated from category peers.,https://docs.mrscraper.com/,60,55
