name,category,description,authentication,selfServe,apiTypes,webhooks,graphql,soap,mcpSupport,toolkitVerdict,blocker,confidence,evidence,notes,buildability_tier,gate_type,auth_primary
Salesforce,CRM and Sales,"Enterprise CRM platform for sales, service, and marketing clouds.",OAuth2,self-serve (free dev org),REST; SOAP; Bulk API,True,False,True,third-party (Salesforce MCP connectors exist; no first-party public MCP yet),buildable today,none,92,https://developer.salesforce.com/docs/apis; https://developer.salesforce.com/signup,"Massive surface area (REST, SOAP, Bulk, Streaming, Metadata APIs). Free Developer Edition org gives instant self-serve OAuth2 credentials.",buildable_today,none,OAuth2
HubSpot,CRM and Sales,"CRM, marketing, sales, and service platform with a large public API surface.",OAuth2; Private App token,self-serve (free CRM + dev account),REST,True,False,False,official (HubSpot MCP server),buildable today,none,93,https://developers.hubspot.com/docs/api/overview; https://developers.hubspot.com/mcp,One of the cleanest self-serve REST APIs in the set; Private App tokens make single-account integration trivial.,buildable_today,none,OAuth2
Pipedrive,CRM and Sales,Sales-pipeline focused CRM for small and mid-size sales teams.,OAuth2; API token,self-serve (free trial),REST,True,False,False,third-party only,buildable today,none,85,https://developers.pipedrive.com/docs/api/v1,Personal API token available instantly per-user; OAuth2 for multi-tenant apps requires a Marketplace app registration.,buildable_today,none,OAuth2
Attio,CRM and Sales,"Modern, highly extensible CRM for go-to-market teams with a flexible data model.",OAuth2; API key (Bearer),self-serve (available on all plans),REST; GraphQL,True,True,False,"third-party (community MCP servers, e.g. kesslerio/attio-mcp-server)",buildable today,none,94,https://developers.attio.com/docs; https://attio.com/help/apps/other-apps/generating-an-api-key,"API key generation is self-serve for workspace admins; scoped tokens, real-time webhooks, REST+GraphQL both available.",buildable_today,none,OAuth2
Twenty,CRM and Sales,"Open-source CRM, positioned as an extensible Salesforce alternative.",API key; OAuth,"self-serve (cloud signup in under a minute, or self-host)",REST; GraphQL,True,True,False,third-party (community MCP servers exist),buildable today,none,93,https://docs.twenty.com/developers/introduction; https://github.com/twentyhq/twenty,"Auto-generates REST + GraphQL from the workspace schema. Fully open-source, so self-hosting removes even the cloud dependency.",buildable_today,none,OAuth2
Podio,CRM and Sales,"Flexible, customizable work/CRM platform for small teams, owned by Citrix/GoTo.",OAuth2,self-serve (free developer account),REST,True,False,False,none found,buildable today,"small ecosystem, aging docs",68,https://developers.podio.com/,"Legacy but functioning OAuth2 REST API. Lower confidence: not independently re-verified live this session, based on established knowledge of the platform.",buildable_today,narrow_surface_or_unverified,OAuth2
Zoho CRM,CRM and Sales,CRM module within the wider Zoho business-apps suite.,OAuth2,self-serve (free tier + sandbox org),REST,True,False,False,none first-party found,buildable today,none,84,https://www.zoho.com/crm/developer/docs/api/v7/,"Standard OAuth2 REST API, well documented, self-serve API console for registering client apps.",buildable_today,none,OAuth2
Close,CRM and Sales,Inside-sales CRM built around calling and email automation.,API key; OAuth2,self-serve (14-day free trial),REST,True,False,False,none found,buildable today,none,83,https://developer.close.com/,API key is generated directly in account settings; well-regarded developer docs with a live API explorer.,buildable_today,none,OAuth2
Copper,CRM and Sales,CRM built natively into Google Workspace for relationship-driven sales teams.,API key; OAuth2,self-serve (free trial),REST,True,False,False,none found,buildable today,none,78,https://developer.copper.com/,REST API with per-user API key; tightly coupled to Google account context in places.,buildable_today,none,OAuth2
DealCloud,CRM and Sales,CRM and deal-management platform for private equity and M&A advisory firms.,OAuth2 (client credentials),"gated (system-admin role required, enterprise contract)",REST,True,False,False,in progress (DealCloud MCP Server client preview announced July 2026),"buildable, but needs admin provisioning",requires system-admin role + a live DealCloud site; no public self-serve sandbox,91,https://api.docs.dealcloud.com/docs/apikeys; https://api.docs.dealcloud.com/docs/token,"Solid REST/OAuth2 docs, but API access must be enabled per-user by a site admin -- classic enterprise-gated pattern, not self-serve.",buildable_gated,account_verification,OAuth2
Zendesk,Support and Helpdesk,Customer service and support ticketing platform.,OAuth2; API token; Basic,self-serve (free trial),REST,True,False,False,third-party only,buildable today,none,88,https://developer.zendesk.com/api-reference/,One of the most mature REST APIs in the whole set; multiple auth options for different integration types.,buildable_today,none,OAuth2
Intercom,Support and Helpdesk,"Customer messaging platform combining support, chat, and product tours.",OAuth2; Access token,self-serve (free trial),REST,True,False,False,official (Intercom MCP server),buildable today,none,87,https://developers.intercom.com/docs/references/rest-api,Well-documented REST API with rich webhook topics.,buildable_today,none,OAuth2
Freshdesk,Support and Helpdesk,Cloud-based helpdesk and ticketing software from Freshworks.,API key,self-serve (free trial),REST,True,False,False,none found,buildable today,none,82,https://developers.freshdesk.com/api/,"Simple API-key auth, generated per-agent from profile settings.",buildable_today,none,API key / Token
Front,Support and Helpdesk,Shared inbox and customer communication platform for teams.,OAuth2; API token,self-serve (free trial),REST,True,False,False,none found,buildable today,none,78,https://dev.frontapp.com/,REST API well documented; OAuth2 apps require Front app-store review for public listing.,buildable_today,none,OAuth2
Pylon,Support and Helpdesk,B2B support platform for scaling customer success over Slack/Teams/Discord.,Bearer token (API key),"self-serve, admin-only token creation",REST,True,False,False,official (Pylon MCP),buildable today,only Admin-role users can create API tokens,93,https://docs.usepylon.com/pylon-docs/developer/api/authentication; https://docs.usepylon.com/pylon-docs/developer/api,"Clean Bearer-token REST API with a full endpoint catalog (accounts, contacts, issues, custom objects) plus a native MCP server.",buildable_today,account_verification,API key / Token
LiveAgent,Support and Helpdesk,"Multi-channel helpdesk software (email, chat, calls, social).",API key,self-serve (free trial),REST,True,False,False,none found,buildable today,none,65,https://www.ladesk.com/api/,Documented REST API with API-key auth; not independently re-verified live this session -- flagged for a second review pass.,buildable_today,none,API key / Token
Plain,Support and Helpdesk,Developer-first customer support tool built around a GraphQL API.,"API key (Bearer, via Machine Users)",self-serve (self-generate in workspace settings),GraphQL,True,True,False,none first-party found,buildable today,none,94,https://www.plain.com/docs/graphql/authentication; https://plain.support.site/article/using-plains-api,"GraphQL-only, API-first by design (""Machine Users"" with fine-grained permission scopes) -- one of the most agent-friendly support tools in the set.",buildable_today,none,API key / Token
